district,street,location,matched_road,lat,lon
福田区,福保街道,石厦碉楼巷,,,
福田区,福保街道,滨河新洲一号桥洞,,,
福田区,福保街道,滨河益田一号桥洞,,,
福田区,福田街道,滨河皇岗立交1,,,
福田区,福田街道,4号桥洞,,,
福田区,福田街道,滨河路与海田路交汇桥洞,海田路,22.54299,114.06039
福田区,福田街道,福强路高级技校门口,福强路,22.52242,114.04787
福田区,华强北街道,同心路/荔香路（路口）市委周边,同心路,22.72988,114.29266
福田区,华强北街道,华富路与红荔路交汇处,红荔路,22.55017,114.05892
福田区,南园街道,松岭路/滨河大道（路口）,滨河大道,22.5327,114.03962
福田区,南园街道,华发南路/滨河大道（路口）,滨河大道,22.5327,114.03962
福田区,南园街道,及污水顶托外冒,,,
福田区,园岭街道,红荔上步路口,,,
福田区,园岭街道,红岭路口,红岭路,22.56461,114.09914
福田区,园岭街道,红岭路与八卦二路口,红岭路,22.56461,114.09914
福田区,园岭街道,泥岗西路市体育场西门前,泥岗西路,22.5628,114.08466
福田区,华富街道,神彩苑南出入口,,,
福田区,华富街道,深南彩田立交北侧桥洞,,,
福田区,华富街道,福科二路勘察院门口,,,
福田区,莲花街道,景田路与北环大道交汇处,北环大道,22.55967,113.99345
福田区,莲花街道,新洲北环立交四号桥洞,,,
福田区,莲花街道,中级法院等路段,,,
福田区,梅林街道,北环辅道东往西新洲立交桥下,,,
福田区,梅林街道,福龙路与北环路交界处辅道往南山方向,福龙路,22.61964,114.0008
福田区,梅林街道,北环皇岗立交桥北侧梅龙天桥底,,,
福田区,沙头街道,深圳卫星证券桥洞,,,
福田区,沙头街道,滨河新洲立交2号桥洞,,,
福田区,沙头街道,白石路福田汽车站南,白石路,22.53291,113.96944
福田区,香蜜湖街道,红荔西路/香梅路（路口）,香梅路,22.55214,114.03149
福田区,香蜜湖街道,香蜜湖路下沉隧道,香蜜湖路,22.54365,114.02143
福田区,香蜜湖街道,市委党校公交站前,,,
福田区,香蜜湖街道,红岭中学桥洞,,,
罗湖区,东门街道,湖贝村,,,
罗湖区,东门街道,晒布路等部分区域,晒布路,22.55271,114.11597
罗湖区,黄贝街道,黄贝公交站,,,
罗湖区,黄贝街道,罗湖区委,,,
罗湖区,黄贝街道,文锦渡口岸,,,
罗湖区,黄贝街道,黄贝岭三路,,,
罗湖区,黄贝街道,春风路高架桥/沿河南路(路口),沿河南路,22.55025,114.11444
罗湖区,莲塘街道,罗沙路西岭下,,,
罗湖区,清水河街道,红岗西村,,,
罗湖区,清水河街道,武警新花园,,,
罗湖区,清水河街道,红岗社区,,,
罗湖区,清水河街道,泥岗路,泥岗路,22.57029,114.09738
罗湖区,清水河街道,布心路,布心路,22.57712,114.12521
罗湖区,清水河街道,宝清路,宝清路,22.68697,114.27724
罗湖区,清水河街道,泥岗东路红岭立交,,,
罗湖区,清水河街道,金湖路,金湖路,22.5733,114.09052
罗湖区,笋岗街道,泥岗路洪湖桥,泥岗路,22.57029,114.09738
罗湖区,笋岗街道,泥岗路红岭立交段,泥岗路,22.57029,114.09738
罗湖区,笋岗街道,泥岗路雅士居路段,泥岗路,22.57029,114.09738
罗湖区,翠竹街道,水贝一路,水贝一路,22.57153,114.12156
罗湖区,翠竹街道,文锦北田贝路段,,,
罗湖区,东晓街道,布吉路丰湖大厦对面桥洞,,,
罗湖区,东晓街道,泥岗路铁路桥,泥岗路,22.57029,114.09738
罗湖区,东晓街道,洪湖立交段,,,
罗湖区,南湖街道,文锦南路,文锦南路,22.54563,114.12594
罗湖区,南湖街道,沿河南路等部分区域,沿河南路,22.55025,114.11444
罗湖区,东湖街道,爱国布心路,布心路,22.57712,114.12521
罗湖区,东湖街道,东湖公园门口,,,
罗湖区,东湖街道,沙湾公路大望桥路段,,,
盐田区,沙头角街道,东和社区街心公园,,,
盐田区,沙头角街道,诗宁里别墅区,,,
盐田区,沙头角街道,实验幼儿园,,,
盐田区,沙头角街道,金融路口,,,
盐田区,海山街道,海景二路,海景二路,22.55872,114.23793
盐田区,海山街道,海山街道深盐路与海山路交汇处,深盐路,22.57583,114.25133
盐田区,海山街道,马庙街,,,
盐田区,盐田街道,沙头村易发生较深积水,,,
盐田区,梅沙街道,梅沙医院下高速路口,,,
南山区,沙河街道,沙河西白芒村路口,,,
南山区,沙河街道,滨海大道,滨海大道,22.57982,114.10124
南山区,沙河街道,沙河东路,沙河东路,22.54578,113.9602
南山区,西丽街道,南坪西行转梅观公路,,,
南山区,西丽街道,南坪路段,,,
南山区,西丽街道,沙河西宝深路段,宝深路,22.564,113.94406
南山区,粤海街道,高新区创维大厦,,,
南山区,粤海街道,科苑路与科发路,科发路,22.54603,113.94667
南山区,粤海街道,月亮湾大道(路口),月亮湾大道,22.51199,113.89031
南山区,南山街道,月亮湾大道,月亮湾大道,22.51199,113.89031
南山区,南山街道,星海名城,,,
南山区,南山街道,蛇口海关,,,
南山区,桃源街道,方大城,,,
南山区,桃源街道,西丽龙珠路,,,
南山区,招商街道,月亮湾大道沿江立交桥底南往北方向,月亮湾大道,22.51199,113.89031
南山区,南头街道,梅观南行南坪立交桥底,,,
南山区,南头街道,南山大道及学府路,南山大道,22.54072,113.91816
南山区,南头街道,关口路,,,
南山区,南头街道,南头关出关方向,,,
宝安区,新安街道,41区安乐市场,,,
宝安区,新安街道,宝民路,,,
宝安区,新安街道,创业立交桥,,,
宝安区,福永街道,福永大道（107国道立交桥底）路口,107国道,22.55254,113.90817
宝安区,福永街道,福永大道广深高速桥底路段,福永大道,22.67294,113.81834
宝安区,福永街道,福围社区福围市场片区（泵站）,,,
宝安区,福永街道,西环路与福新路交汇处,西环路,22.65844,113.96412
宝安区,新桥街道,沙井高速桥底路面,,,
宝安区,沙井街道,民主大道,民主大道,22.73651,113.77635
宝安区,石岩街道,水田市场,,,
宝安区,石岩街道,石龙大道,,,
宝安区,石岩街道,宝石路牛城村路段,宝石路,22.62439,113.92019
龙岗区,龙岗街道,水岸新都,,,
龙岗区,龙岗街道,第六工业区,,,
龙岗区,龙岗街道,双龙立交桥底,,,
龙岗区,龙岗街道,鹏达路刘屋段,鹏达路,22.71823,114.26033
龙岗区,坂田街道,五和大道四季花城段,五和大道,22.65977,114.05976
龙岗区,坂田街道,岗头路口,岗头路,22.74781,113.81619
龙岗区,坂田街道,雪岗南路上雪市场,,,
龙岗区,坂田街道,雪岗南路（新亚洲百货）,,,
龙岗区,坂田街道,雪岗南路象角塘,,,
龙岗区,坂田街道,五和地铁站,,,
龙岗区,布吉街道,布吉中学,,,
龙岗区,布吉街道,西环路口,西环路,22.65844,113.96412
龙岗区,布吉街道,湖南立交穿孔桥,,,
龙岗区,布吉街道,三联路段,三联路,22.66273,114.03372
龙岗区,布吉街道,甘坑老屋村,,,
龙岗区,布吉街道,塘径新村,,,
龙岗区,布吉街道,布李路,布李路,22.61891,114.11654
龙岗区,布吉街道,中心路,中心路,22.50221,113.93735
龙岗区,园山街道,惠盐中路与大康路交汇处,惠盐中路,22.64596,114.21065
龙岗区,园山街道,坳新路口,,,
龙岗区,园山街道,信义汽车城,,,
龙岗区,横岗街道,新联嶂背路及嶂背一村,嶂背路,22.69113,114.23251
龙岗区,横岗街道,橫坪公路连接线与横坪公路交汇处,,,
龙岗区,横岗街道,四联社区富利时路,,,
龙岗区,宝龙街道,同心路与岗德路交汇处,同心路,22.72988,114.29266
龙岗区,宝龙街道,大坑路与夏深铁路以下南路段,大坑路,22.7044,114.30294
龙岗区,宝龙街道,宝荷路与积谷田路交汇处,宝荷路,22.6948,114.2597
龙岗区,宝龙街道,岗德路与阳新路交汇处,阳新路,22.71766,114.31108
龙岗区,吉华街道,秀峰路口,,,
龙岗区,吉华街道,吉华路,吉华路,22.63102,114.0817
龙岗区,吉华街道,三联富民城,,,
龙岗区,吉华街道,布龙立交段,,,
龙岗区,吉华街道,秀峰工业城,,,
龙岗区,龙城街道,天安数码城,,,
龙岗区,龙城街道,英才学校,,,
龙岗区,龙城街道,如意路与盐龙大道辅道交汇处,盐龙大道,22.75103,114.25589
龙岗区,龙城街道,龙翔大道与吉祥路交汇处,吉祥路,22.71826,114.16371
龙岗区,龙城街道,建设路与龙翔大道交汇处,龙翔大道,22.70845,114.22856
龙岗区,南湾街道,南和路与布沙路交汇处,布沙路,22.60966,114.14718
龙岗区,南湾街道,丹沙路沙湾桥头,丹沙路,22.61837,114.15563
龙岗区,南湾街道,丹平路丹竹头汽车站,丹平路,22.65611,114.14602
龙岗区,南湾街道,下李郎社区白李路旗丰科技园段,,,
龙岗区,南湾街道,龙山工业区龙山路段,龙山路,22.60223,114.1373
龙岗区,平湖街道,老围村,,,
龙岗区,平湖街道,新木村,,,
龙岗区,平湖街道,平吉大道与辅岐路交界处,平吉大道,22.66071,114.1198
龙岗区,平湖街道,新木路与良白路交汇处,良白路,22.66438,114.14201
龙岗区,平湖街道,丹平路跨东深公路桥底,东深公路,22.68208,114.15733
龙岗区,平湖街道,平安大道与丹平路交汇处,平安大道,22.67842,114.13506
龙岗区,平湖街道,凤岐路与辅岐路交汇处,凤岐路,22.68753,114.10414
龙岗区,坪地街道,人民南路与英材路交汇处,人民南路,22.59557,114.1601
龙岗区,坪地街道,四方埔桥洞,,,
龙岗区,坪地街道,坪地惠盐高速公路石碧西,,,
龙岗区,坪地街道,吉坑,,,
龙岗区,坪地街道,鹤坑村道三个涵洞,,,
龙岗区,坪地街道,怡心社区西湖苑小区,,,
龙岗区,坪地街道,龙岗大道长山等路段,龙岗大道,22.68356,114.2152
龙华区,龙华街道,龙观路东环二路交汇处,东环二路,22.64777,114.03893
龙华区,观澜街道,君子布,,,
龙华区,观澜街道,梅观高速/观澜大道(路口),观澜大道,22.70688,114.04414
龙华区,观澜街道,观澜升华二街,升华二街,22.72103,114.05125
龙华区,福城街道,桔岭老村,,,
坪山区,坪山街道,鹤源路,,,
坪山区,坪山街道,金碧路沙湖工业区入口,金碧路,22.60843,114.16527
坪山区,坪山街道,坪山街道沿河路,沿河路,22.66597,114.01129
坪山区,坪山街道,行政二路与行政九路交汇处,,,
坪山区,坪山街道,坪山大道与行政八路交汇处,坪山大道,22.70861,114.34572
坪山区,坪山街道,坪山大道与金牛路口,坪山大道,22.70861,114.34572
坪山区,坪山街道,万科金域缇香,,,
坪山区,龙田街道,绿荫北路（菜地入口）,绿荫北路,22.71596,114.36832
坪山区,龙田街道,盘龙路（绿梓大道桥下至吉康路）,绿梓大道,22.68339,114.38684
坪山区,碧岭街道,汤坑二路,,,
坪山区,碧岭街道,碧岭社区新沙路100号,新沙路,22.73167,113.81915
坪山区,碧岭街道,碧岭社区沙坑二路32号,,,
坪山区,碧岭街道,沙湖社区新龙路湖清路口,,,
坪山区,碧岭街道,沙湖东深路,东深路,22.80882,114.11235
坪山区,碧岭街道,碧岭市场,,,
坪山区,石井街道,矮岭村,,,
坪山区,石井街道,石井社区福民路草埔路段2号,福民路,22.53618,114.05767
坪山区,石井街道,石井社区太阳村大门路道,,,
坪山区,石井街道,石井社区金田路61号,金田路,22.53509,114.05879
坪山区,石井街道,横塘村二巷五号门前,,,
坪山区,坑梓街道,吉康路与兰景路交汇处,吉康路,22.7383,114.36873
坪山区,坑梓街道,同富裕工业区,,,
坪山区,坑梓街道,锦绣东路和荣田路口,锦绣东路,22.74877,114.39995
坪山区,坑梓街道,龙田社区大窝村,,,
坪山区,坑梓街道,秀沙路,秀沙路,22.768,114.399
坪山区,马峦街道,坪环路与富林路口,坪环路,22.6818,114.34134
坪山区,马峦街道,坪山人民法院门口,,,
坪山区,马峦街道,江岭社区龙坪路,龙坪路,22.70892,114.33066
坪山区,马峦街道,锦龙大道（南方中集段）,锦龙大道,22.68246,114.32168
光明区,光明街道,华夏路与周家大道交汇处,周家大道,22.76205,113.89949
光明区,光明街道,东明大道与华裕路交汇处,华裕路,22.77257,113.92273
光明区,公明街道,别墅路口,别墅路,22.78077,113.90314
光明区,公明街道,莲塘龙大高速桥底,龙大高速,22.77573,113.91156
光明区,凤凰街道,凤凰社区龙大高速桥底,龙大高速,22.77573,113.91156
